ts_utc,y_bid,y_ask,y_mid,y_bid_vol,y_ask_vol,x_bid,x_ask,x_mid,x_bid_vol,x_ask_vol,z
2025-09-17T10:10:59.487263,99200.0,99249.0,99224.5,17.13,294.0,99170.0,99230.0,99200.0,12.16,1857.75,24.5
2025-09-17T10:11:03.694508,99200.0,99249.0,99224.5,30.19,289.01,99170.0,99230.0,99200.0,12.16,1842.75,24.5
2025-09-17T10:11:08.065435,99200.0,99250.0,99225.0,30.19,1179.44,99170.0,99230.0,99200.0,12.16,1842.75,25.0
2025-09-17T10:11:12.279495,99201.0,99249.0,99225.0,2.25,292.17,99170.0,99230.0,99200.0,12.16,1842.75,25.0
2025-09-17T10:11:16.663140,99200.0,99250.0,99225.0,28.99,1174.44246852,99171.0,99230.0,99200.5,25.03,1785.32,24.5
